trade_id,timestamp_utc,ticker,side,order_qty,insider_date,insider_name,estimated_entry_price,take_profit_price,stop_loss_price,alpaca_order_id,status,exit_reason
2025-07-30-ANIX-buy-5000,2025-07-31T13:34:09.426390,ANIX,buy,3,2025-07-30,KUMAR AMIT,3.155,3.47,2.84,5bd84da2-3e3f-4a6d-bb9a-2e73245a63c3,pending_new,
2025-06-11-SNYR-buy-900,2025-07-31T13:34:11.905831,SNYR,buy,3,2025-06-11,Ross Jack,3.655,4.02,3.29,e0780032-430b-449b-b342-2c0c7acdb69a,pending_new,
2025-07-28-ADT-sell-71000000,2025-07-31T13:34:15.100621,ADT,sell,1,2025-07-28,"Apollo Management Holdings GP,",8.355,7.52,9.19,e385335c-f78e-43f1-a33f-74419fac9898,pending_new,
2025-07-28-NVTS-buy-18645603,2025-07-31T13:34:17.964532,NVTS,buy,1.5852,2025-07-28,Singh Ranbir,7.365,8.1,6.63,5bb75ed6-c06a-4063-8728-5ee4ee8bf85a,pending_new,
2025-07-28-ZIP-sell-5811,2025-07-31T13:34:20.923232,ZIP,sell,2,2025-07-28,Miller J Sanford,4.19,3.77,4.61,ab614c58-aa03-482a-9ed8-9a9dc37f4dac,pending_new,
2025-07-30-TLRY-buy-165000,2025-07-31T13:34:23.545711,TLRY,buy,18.9591,2025-07-30,SIMON IRWIN D,0.6158,0.68,0.55,1996c9de-90b2-438f-bf46-432bdd7c9cbd,pending_new,
2025-07-28-FNWB-buy-3000,2025-07-31T13:34:26.388152,FNWB,buy,1,2025-07-28,Henderson Kyle David,7.8,8.58,7.02,3619be2c-4825-4b0f-b7ac-937eb6b8153c,pending_new,
2025-07-29-MBWM-buy-200,2025-07-31T13:34:29.935791,MBWM,buy,0.2529,2025-07-29,Williams Shoran R,46.165,50.78,41.55,a8abbf69-95f9-49ca-b5e3-c3710b3e3848,pending_new,
2025-07-28-TLYS-buy-50000,2025-07-31T13:34:32.877751,TLYS,buy,6.2433,2025-07-28,Shay Capital LLC,1.87,2.06,1.68,5f834f1b-b3cf-4292-b30c-7e1dcc9579d3,pending_new,
2025-07-29-LEXX-buy-15600,2025-07-31T13:34:36.988501,LEXX,buy,12,2025-07-29,BUNKA CHRISTOPHER,0.9198,1.01,0.83,5b58f20c-20b4-4025-a26c-b55504d1b161,pending_new,
2025-07-29-GSHD-buy-1149,2025-07-31T13:34:39.231469,GSHD,buy,0.1254,2025-07-29,Jones Mark E. Jr.,93.1,102.41,83.79,1208fa8a-b621-4e1a-b20b-7599a3304a35,pending_new,
2025-07-30-GAM-buy-177,2025-07-31T13:34:41.479477,GAM,buy,0.2042,2025-07-30,Stark Eugene S,57.165,62.88,51.45,f464b622-0af2-48c3-9be8-b697449e3bdf,pending_new,
2025-07-28-RLAY-sell-1359,2025-07-31T13:34:45.391494,RLAY,sell,3,2025-07-28,Rahmer Peter,3.69,3.32,4.06,6ec5d497-341b-41ce-80ab-937ede07e4c9,pending_new,
2025-07-25-IMA-buy-83611,2025-07-31T13:34:48.018642,IMA,buy,0.7601,2025-07-25,Bonita David P,15.36,16.9,13.82,2ef103b1-d7b2-4759-91a0-37731f29ddb5,pending_new,
2025-07-30-LADR-sell-34578,2025-07-31T13:34:50.753123,LADR,sell,1,2025-07-30,Alexander Mark David,11.04,9.94,12.14,c7ba0509-31c9-4e3d-9c7c-5135deb030a7,pending_new,
2025-07-11-UPXI-buy-20243,2025-07-31T13:34:52.999113,UPXI,buy,2.3973,2025-07-11,Salkind Gene,4.87,5.36,4.38,7aa058cf-c3e7-4aa4-9f53-97cb5f9a4849,pending_new,
2025-07-30-SSB-buy-3338,2025-07-31T13:34:55.853954,SSB,buy,0.1217,2025-07-30,Froetscher Janet P,95.94,105.53,86.35,5009e28d-1f5e-4328-996c-2a0e5820e4d5,pending_new,
2025-07-30-EPD-buy-16000,2025-07-31T13:34:58.703633,EPD,buy,0.3769,2025-07-30,Montgomery William C,30.98,34.08,27.88,8a7031b5-97ab-4b79-a793-3f379f445f72,pending_new,
2025-07-29-NVCR-buy-20000,2025-07-31T13:35:01.574782,NVCR,buy,1.0197,2025-07-29,Brackmann Christoph,11.45,12.6,10.3,953d8745-55c7-4c66-9041-858d0b5de7b1,pending_new,
2025-07-29-TCBX-buy-1300,2025-07-31T13:35:04.704878,TCBX,buy,0.3041,2025-07-29,Bobbora William,38.39,42.23,34.55,64c03e83-78bc-4a07-8e74-85d73df70290,pending_new,
2025-07-28-LUNR-sell-40254,2025-07-31T13:35:06.959185,LUNR,sell,1,2025-07-28,Ghaffarian Kamal Seyed,11.585,10.43,12.74,2d21f839-1b38-446e-b7f0-724b966cbae5,pending_new,
2025-07-28-DMA-buy-76427,2025-07-31T13:35:09.807113,DMA,buy,1,2025-07-28,"Saba Capital Management, L.P.",8.62,9.48,7.76,2eb82488-2a79-44cd-89f7-ce7273d5a8d5,pending_new,
2025-07-28-PSNL-sell-452,2025-07-31T13:35:13.008976,PSNL,sell,2,2025-07-28,Chen Richard,5.475,4.93,6.02,da7f9f23-44e9-48d7-9565-9fa5af728d4f,pending_new,
2025-07-30-EVCM-sell-12639,2025-07-31T13:35:15.379660,EVCM,sell,1,2025-07-30,Remer Eric Richard,11,9.9,12.1,d28c65a9-f80c-4545-aad5-937116bf4b2f,pending_new,
2025-07-31-EDIT-sell-7500,2025-07-31T13:35:18.223175,EDIT,sell,4,2025-07-31,Burkly Linda,2.46,2.21,2.71,77336a03-3be4-470d-ab2b-35742965524f,pending_new,
2025-07-30-FUBO-sell-57172,2025-07-31T13:35:21.437180,FUBO,sell,2,2025-07-30,THE DANIEL V. LEFF LIVING TRUS,4.26,3.83,4.69,b3928f38-06d0-4590-b67b-94f854d00567,pending_new,
2025-07-30-TG-sell-349217,2025-07-31T14:20:38.842116,TG,sell,1,2025-07-30,Residual 10-Year CLAT UA FDGJR,8.73,7.86,9.6,a116488b-a5e9-44e4-8813-b9526fd8e0f5,pending_new,
2025-07-30-TPL-buy-1,2025-07-31T14:35:46.639722,TPL,buy,0.0119,2025-07-30,HORIZON KINETICS ASSET MANAGEM,978.28,1076.11,880.45,ada49568-0490-48e0-9a8b-12d6bee207b7,pending_new,
2025-07-30-RCG-buy-356,2025-07-31T14:35:49.030905,RCG,buy,4,2025-07-30,STAHL MURRAY,2.6,2.86,2.34,1d0b5881-502a-45d5-85d0-4587597784df,pending_new,
2025-07-30-CIVB-buy-2000,2025-07-31T16:36:36.971879,CIVB,buy,0.5978,2025-07-30,Weaks Nathan E,19.53,21.48,17.58,f2ec847d-5bdb-43cd-9324-1c4bfa2ce7c7,pending_new,
2025-07-30-PNFP-buy-174,2025-07-31T16:51:45.136018,PNFP,buy,0.1316,2025-07-30,BURNS GREGORY L,88.74,97.61,79.87,d2131f0a-4912-44bc-b102-b0ce97bd028b,pending_new,
2025-07-31-DOC-buy-2930,2025-07-31T18:07:17.094819,DOC,buy,0.6888,2025-07-31,Brinker Scott M,16.95,18.64,15.25,4333cdf3-45f1-4dd4-a040-a0d212c66e34,pending_new,
2025-07-28-ASRV-buy-1500,2025-07-31T18:37:31.495782,ASRV,buy,4,2025-07-28,Lynch Michael D,2.71,2.98,2.44,21c0fd09-5a06-4daa-b7c7-4ab4c1799418,pending_new,
2025-07-29-FCNCA-buy-66,2025-07-31T18:52:39.669812,FCNCA,buy,0.0058,2025-07-29,Holding Olivia Britton,2020.465,2222.51,1818.42,2d42f6cc-b5d9-4ed0-aa5a-9eedd63bfcfa,pending_new,
